営業担当,予測_翌月成約数
三浦翔太,3.3
三浦陽菜,5.0
中島さくら,5.3
中島和也,4.9
中村健太,4.3
中村彩,3.9
中村湊,4.8
伊藤和也,3.3
佐々木千尋,6.8
佐々木拓海,3.5
佐々木陽斗,5.6
佐藤周治,9.1
兵頭大志,10.0
前田亮,5.7
前田麻衣,6.2
坂本桃子,6.4
坂本涼介,6.1
大林ふみ,7.9
山口駿,6.2
山崎桃子,6.0
山崎裕子,5.6
山崎麻衣,6.8
山本陽斗,5.6
山田亮,5.4
山田健太,5.7
岡本結衣,6.2
岡田陽菜,7.4
川端須開,6.2
後藤大和,6.3
後藤彩,5.3
後藤拓海,8.3
斎藤貴大,2.6
木村結衣,4.3
松本拓海,4.0
松田美咲,7.3
森健太,5.9
森美咲,5.5
橋本智也,8.0
橋本蓮,5.4
橋本駿,7.7
橋本麻衣,7.1
清水桃子,5.6
清水真由,6.3
渡辺和也,3.6
渡辺彩花,6.5
渡辺直樹,5.9
渡辺陽菜,4.6
濵田隼人,6.9
田中奈々,4.2
田中彩花,4.6
田中直樹,6.4
田中結衣,2.8
田中翔太,4.8
石川奈々,3.5
石川拓海,5.6
石川涼介,6.3
石川結衣,5.2
藤井さくら,4.5
藤井涼介,5.3
藤井葵,5.6
藤田翔太,6.5
藤田葵,3.4
西村さくら,7.2
西村拓海,7.4
西村翔太,5.6
谷本りゅうき,2.6
近藤大和,5.6
近藤蓮,7.0
遠藤悠真,4.8
遠藤拓海,4.1
遠藤蓮,8.5
鈴木奈々,5.3
青木大和,4.4
高橋翔太,4.9
黒須ひろとし,3.4
